rebalance_date,active_quarter,n_pool,n_scored_candidates,n_selected,btc_momentum_90d,selected_symbols,selected_relative_momentum
2022-08-18,2022-07-01,30,29,5,-0.23010379881019405,"ETCUSDT,PEOPLEUSDT,SHIBUSDT,ENSUSDT,ROSEUSDT","1.1593,0.6449,0.4805,0.4781,0.4571"
2022-09-17,2022-07-01,30,29,5,0.043883781329085325,"ATOMUSDT,ETCUSDT,ENSUSDT,AAVEUSDT,SHIBUSDT","1.6872,1.4506,0.5913,0.5549,0.4555"
2022-10-17,2022-10-01,30,29,5,-0.14129449220731638,"ENSUSDT,CHZUSDT,XRPUSDT,ATOMUSDT,RVNUSDT","0.8812,0.7223,0.4460,0.3629,0.2487"
2022-11-16,2022-10-01,30,29,5,-0.27597925857635763,"DOGEUSDT,XRPUSDT,CHZUSDT,LTCUSDT,BNBUSDT","0.3614,0.3005,0.2706,0.2345,0.1786"
2022-12-16,2022-10-01,30,29,5,-0.12356324450975342,"DOGEUSDT,LTCUSDT,XRPUSDT,UNIUSDT,BNBUSDT","0.5270,0.4179,0.1878,0.1182,0.0650"
2023-01-15,2023-01-01,30,28,5,0.08783376196206394,"MASKUSDT,OPUSDT,LTCUSDT,TWTUSDT,DOGEUSDT","1.6290,1.3828,0.6201,0.4388,0.3939"
2023-02-14,2023-01-01,30,28,5,0.2883571382503667,"OPUSDT,APEUSDT,LTCUSDT,SOLUSDT,GALAUSDT","1.0724,0.4136,0.2812,0.1621,0.1470"
2023-03-16,2023-01-01,30,28,5,0.3992385491411208,"OPUSDT,GALAUSDT,DYDXUSDT,SOLUSDT,FILUSDT","0.8538,0.1809,-0.0016,-0.0289,-0.0517"
2023-04-15,2023-04-01,30,30,5,0.4539272877204972,"CFXUSDT,ACHUSDT,STXUSDT,MASKUSDT,GRTUSDT","12.2915,2.8219,1.8494,0.5308,0.5120"
2023-05-15,2023-04-01,30,30,5,0.23622931417651438,"CFXUSDT,STXUSDT,ACHUSDT,ETHUSDT,XRPUSDT","4.1615,0.8848,0.2522,-0.0409,-0.0877"
2023-06-14,2023-04-01,30,30,5,0.06788326938613154,"XRPUSDT,TRXUSDT,ETHUSDT,LTCUSDT,MASKUSDT","0.3788,0.0357,-0.0132,-0.0539,-0.1209"
2023-07-14,2023-07-01,30,30,5,0.03240562800387181,"BCHUSDT,XRPUSDT,TRXUSDT,ARPAUSDT,INJUSDT","1.0395,0.5274,0.2021,0.1658,0.0517"
2023-08-13,2023-07-01,30,30,5,0.09334220484574796,"BCHUSDT,XRPUSDT,INJUSDT,SHIBUSDT,SOLUSDT","0.8919,0.3823,0.1662,0.1205,0.0968"
2023-09-12,2023-07-01,30,30,5,-0.029757174392936014,"BCHUSDT,SOLUSDT,FETUSDT,DYDXUSDT,OPUSDT","0.7790,0.2079,0.2059,0.1969,0.1433"
2023-10-12,2023-10-01,30,30,5,-0.14556738473648856,"TRBUSDT,RUNEUSDT,YGGUSDT,TRXUSDT,LINKUSDT","3.4637,0.6760,0.6747,0.1984,0.1830"
2023-11-11,2023-10-01,30,30,5,0.26746226746226753,"TRBUSDT,RUNEUSDT,SOLUSDT,LINKUSDT,TRXUSDT","6.8002,1.8874,1.0075,0.8144,0.1029"
2023-12-11,2023-10-01,30,30,5,0.7402672705277533,"RUNEUSDT,SOLUSDT,AVAXUSDT,TRBUSDT,LINKUSDT","2.7714,2.4849,2.2836,2.1731,1.0676"
2024-01-10,2024-01-01,30,28,5,0.7156877336698972,"INJUSDT,SOLUSDT,AVAXUSDT,FETUSDT,NEARUSDT","3.6784,2.7986,2.0101,1.4256,1.4155"
2024-02-09,2024-01-01,30,28,5,0.2141198655393881,"SUIUSDT,AVAXUSDT,OPUSDT,NEARUSDT,INJUSDT","1.2899,1.1889,0.7056,0.6674,0.6005"
2024-03-10,2024-01-01,30,28,5,0.5600373240075078,"FETUSDT,PEPEUSDT,WLDUSDT,SHIBUSDT,NEARUSDT","4.2641,3.9150,2.7897,1.8233,0.8985"
2024-04-09,2024-04-01,30,30,5,0.5532422468011278,"FLOKIUSDT,PEPEUSDT,FETUSDT,SHIBUSDT,WLDUSDT","5.8393,4.9134,2.7861,1.4188,1.3665"
2024-05-09,2024-04-01,30,30,5,0.3511780545456753,"PEPEUSDT,FLOKIUSDT,FETUSDT,SHIBUSDT,NEARUSDT","7.0278,4.5616,2.5011,1.0962,0.9791"
2024-06-08,2024-04-01,30,30,5,0.015258089680087128,"PEOPLEUSDT,PEPEUSDT,BNBUSDT,FLOKIUSDT,SOLUSDT","1.1985,0.4436,0.3855,0.1696,0.1109"
2024-07-08,2024-07-01,30,30,5,-0.22008084333984923,"PEOPLEUSDT,PEPEUSDT,JASMYUSDT,TRXUSDT,BONKUSDT","0.5483,0.3026,0.2772,0.2333,0.0827"
2024-08-07,2024-07-01,30,30,5,-0.0845034148496977,"PEOPLEUSDT,JASMYUSDT,SOLUSDT,TRXUSDT,XRPUSDT","1.2584,0.2688,0.1001,0.0883,0.0634"
2024-09-06,2024-07-01,30,30,5,-0.18997168217130278,"TRXUSDT,XRPUSDT,LTCUSDT,SOLUSDT,SUIUSDT","0.5194,0.2807,0.0146,-0.0137,-0.0727"
2024-10-06,2024-10-01,30,30,5,0.11099951824104815,"SUIUSDT,TAOUSDT,AAVEUSDT,1000SATSUSDT,SEIUSDT","1.6298,1.5042,0.7875,0.5305,0.4683"
2024-11-05,2024-10-01,30,30,5,0.21113130357157828,"SUIUSDT,DOGEUSDT,TAOUSDT,SEIUSDT,RUNEUSDT","1.8652,0.4293,0.4062,0.1734,0.1581"
2024-12-05,2024-10-01,30,30,5,0.7548472766108938,"SUIUSDT,DOGEUSDT,ENAUSDT,XRPUSDT,ADAUSDT","2.8540,2.6420,2.6067,2.5754,1.8966"
2025-01-04,2025-01-01,30,30,5,0.5819746044023333,"HBARUSDT,XLMUSDT,XRPUSDT,ENAUSDT,DOGEUSDT","4.3241,3.2887,3.0548,2.6587,1.8905"
2025-02-03,2025-01-01,30,30,5,0.43994952985268543,"HBARUSDT,XRPUSDT,XLMUSDT,ADAUSDT,AAVEUSDT","4.5135,3.6842,2.4459,1.0277,0.5749"
2025-03-05,2025-01-01,30,30,5,-0.11467336773126613,"XRPUSDT,HBARUSDT,AAVEUSDT,ADAUSDT,BNBUSDT","0.1558,-0.0460,-0.0793,-0.0927,-0.0956"
2025-04-04,2025-04-01,30,30,5,-0.15239332785870985,"TRXUSDT,XRPUSDT,BNBUSDT,LTCUSDT,CAKEUSDT","0.0340,-0.0064,-0.0186,-0.1072,-0.1977"
2025-05-04,2025-04-01,30,30,5,-0.018875730433152937,"CAKEUSDT,TRXUSDT,SUIUSDT,TAOUSDT,BNBUSDT","0.2281,0.1080,0.0273,0.0251,-0.0110"
2025-06-03,2025-04-01,30,30,5,0.21282755042908064,"PEPEUSDT,WIFUSDT,NEIROUSDT,BONKUSDT,RUNEUSDT","0.5540,0.4387,0.2671,0.2491,0.2225"
2025-07-03,2025-07-01,30,30,5,0.30808265862979023,"PENGUUSDT,NEIROUSDT,WIFUSDT,AAVEUSDT,SEIUSDT","1.9404,1.3236,1.0591,0.5192,0.4034"
2025-08-02,2025-07-01,30,30,5,0.18195453157962715,"PENGUUSDT,ENAUSDT,ETHUSDT,UNIUSDT,NEIROUSDT","2.1173,0.8060,0.7205,0.5938,0.4895"
2025-09-01,2025-07-01,30,30,5,0.022561924706864467,"PENGUUSDT,ENAUSDT,ETHUSDT,LINKUSDT,UNIUSDT","1.6379,0.9595,0.6618,0.6263,0.4699"
2025-10-01,2025-10-01,30,30,5,0.047766183798562345,"BIOUSDT,ENAUSDT,PENGUUSDT,AVAXUSDT,ETHUSDT","1.3083,0.9769,0.7522,0.5735,0.5649"
2025-10-31,2025-10-01,30,30,5,-0.04391121708931478,"BNBUSDT,BIOUSDT,SOLUSDT,ETHUSDT,LINKUSDT","0.4692,0.3789,0.1790,0.1348,0.0893"
2025-11-30,2025-10-01,30,30,5,-0.16115009882550313,"BNBUSDT,BCHUSDT,TRXUSDT,XRPUSDT,NEARUSDT","0.1789,0.1194,-0.0151,-0.0459,-0.0568"
2025-12-30,2025-10-01,30,30,5,-0.2350903248281241,"BCHUSDT,TRXUSDT,BNBUSDT,UNIUSDT,LTCUSDT","0.3039,0.0894,0.0804,0.0197,-0.0321"
2026-01-29,2026-01-01,30,30,5,-0.17561285298175233,"DASHUSDT,ICPUSDT,BCHUSDT,ZECUSDT,TRXUSDT","0.5019,0.2856,0.2678,0.2494,0.1855"
2026-02-28,2026-01-01,30,30,5,-0.27455583792682214,"TRXUSDT,BCHUSDT,PEPEUSDT,VIRTUALUSDT,BNBUSDT","0.2813,0.1595,0.0820,0.0071,-0.0220"
2026-03-30,2026-01-01,30,30,5,-0.24331612009702763,"TAOUSDT,TRXUSDT,VIRTUALUSDT,PEPEUSDT,HBARUSDT","0.6855,0.3731,0.1926,0.0472,0.0235"
2026-04-29,2026-04-01,30,30,5,-0.1450976646245985,"TRXUSDT,TAOUSDT,PENGUUSDT,ASTERUSDT,ZECUSDT","0.2385,0.2295,0.1641,0.1183,0.0513"
2026-05-29,2026-04-01,30,30,5,0.11758255771411541,"ZECUSDT,NEARUSDT,TAOUSDT,TRXUSDT,DASHUSDT","1.3786,1.0945,0.3648,0.1306,0.0870"
2026-06-28,2026-04-01,30,30,5,-0.0906202957601111,"ZECUSDT,WLDUSDT,NEARUSDT,XPLUSDT,DASHUSDT","0.9315,0.7420,0.6954,0.2587,0.1290"
2026-07-28,2026-07-01,30,30,5,-0.1648736350541119,"币安人生USDT,ONDOUSDT,ZECUSDT,WLDUSDT,NEARUSDT","0.8217,0.6558,0.5827,0.4644,0.4195"
